41:9E:CA,
41:95:DF,
41:98:40,
41:94:3C,
41:94:B3,
41:97:D0,
41:95:26,
41:93:4C,
41:9D:22,
41:99:39,
41:98:22,
41:93:E1,
41:94:DA,
41:93:B6,
41:AB:F2,
41:94:2B,
41:AB:B3,
41:94:70,
41:93:AB,
41:93:21,
41:99:D4,
41:95:57,
41:A6:D3,
41:95:02,
41:AC:92,
41:95:C3,
41:AC:A2,
41:98:CD,
41:92:B8,
41:93:21,
41:97:B2,
41:94:70,
41:A8:9A,
41:95:21,
41:A8:4C,
41:AB:63,
41:93:32,
41:AA:32,
41:95:6E,
41:92:8B,
41:95:85,
41:A8:D7,
41:AA:83,
41:95:45,
41:94:A8,
41:94:46,
41:95:BE,
41:95:E0,
41:95:64,
41:97:83,
